GID,Latitude,Longitude,Ocean
1,68.86,-50.18,1
2,68.87,-50.18,1
3,69.14,-49.58,1
4,69.41,-50.16,1
5,69.92,-50.31,1
6,69.91,-50.33,1
7,70,-50.21,1
8,70.11,-50.21,1
9,70.4,-50.46,2
10,70.58,-50.45,2
11,70.59,-50.48,2
12,70.64,-50.48,2
13,70.94,-50.65,2
14,70.99,-50.73,2
15,71.36,-51.11,2
16,71.49,-51.14,2
17,71.78,-51.5,2
18,71.81,-52.22,2
19,72.09,-52.39,2
20,72.78,-54.22,3
21,72.86,-54.24,3
22,72.94,-54.25,3
23,73.03,-54.34,3
24,73.05,-54.63,3
25,73.24,-55,3
26,73.39,-55.94,3
27,73.47,-55.21,3
28,73.49,-55.18,3
29,73.61,-55.48,3
30,73.85,-55.51,3
31,73.96,-55.64,3
32,74.24,-55.92,3
33,74.34,-55.96,3
34,74.4,-56.06,4
35,74.61,-55.96,4
36,74.74,-56.3,4
37,74.8,-56.46,4
38,74.89,-56.79,4
39,74.94,-56.93,4
40,74.95,-57.08,4
41,75.05,-57.58,4
42,75.13,-57.66,4
43,75.17,-57.7,4
44,75.29,-57.92,4
45,75.39,-57.9,4
46,75.61,-58.06,4
47,75.76,-58.87,5
48,75.77,-58.92,5
49,75.88,-59.18,5
50,76.02,-59.55,5
51,76,-59.77,5
52,76.09,-59.86,5
53,76.09,-60.14,5
54,76.12,-60.54,5
55,76.21,-60.68,5
56,76.25,-60.97,5
57,76.28,-61.44,5
58,76.26,-61.77,5
59,76.29,-61.83,5
60,76.32,-61.97,5
61,76.33,-62.6,5
62,76.38,-62.72,5
63,76.47,-63.48,5
64,76.45,-63.65,5
65,76.38,-64.04,6
66,76.37,-64.5,6
67,76.33,-64.56,6
68,76.21,-64.98,6
69,76.22,-65.16,6
70,76.34,-65.53,6
71,76.33,-67.02,6
72,76.25,-67.4,6
73,76.2,-67.52,6
74,76.28,-68.24,7
75,76.59,-67.72,7
79,77.13,-65.46,8
80,77.49,-65.68,8
81,77.71,-65.88,8
82,77.75,-66.11,8
83,77.73,-67.46,8
84,77.62,-67.77,8
85,77.79,-68.53,8
86,77.91,-69.98,8
87,77.98,-71.03,8
88,78.03,-71.76,8
89,78.05,-71.81,8
90,78.09,-72.26,8
